# {'EVID','X','Y','Z','OT','dOT','ex','ey','ez'} (%8.3f %8.3f %8.3f %015.3f %7.3f %f %f %f\n)
091   17.172   17.119    5.790 20160911121114.828  -0.025 0.152000 0.178000 0.230000
092   17.198   17.495    5.860 20160912121114.828   0.014 0.130000 0.119000 0.200000
093   17.861   17.687    5.870 20160913121114.828   0.000 0.143000 0.140000 0.250000
094   18.250   18.420    5.800 20160914121114.828  -0.042 0.126000 0.167000 0.260000
095   18.558   18.445    5.930 20160915121114.828   0.029 0.197000 0.136000 0.260000
096   18.505   18.753    5.580 20160916121114.828   0.088 0.153000 0.128000 0.210000
097   19.762   19.808    6.170 20160917121114.828  -0.100 0.206000 0.161000 0.310000
098  -19.107   19.595   11.680 20160918121114.828   0.029 0.187000 0.167000 0.240000
099  -18.959   19.265   11.490 20160919121114.828  -0.011 0.193000 0.202000 0.270000
100  -18.609   18.893   11.880 20160920121114.828  -0.025 0.183000 0.185000 0.310000
101  -18.169   18.484   11.740 20160921121114.828  -0.010 0.225000 0.164000 0.250000
102  -17.779   18.142   11.930 20160922121114.828  -0.027 0.215000 0.218000 0.260000
103  -17.330   17.877   12.160 20160923121114.828  -0.040 0.166000 0.162000 0.240000
104  -16.608   16.755   11.760 20160924121114.828   0.090 0.245000 0.184000 0.240000
105  -16.008   16.872   11.760 20160925121114.828   0.048 0.184000 0.146000 0.220000
106  -15.918   16.373   11.940 20160926121114.828   0.018 0.138000 0.155000 0.170000
107  -15.823   15.759   11.850 20160927121114.828   0.017 0.173000 0.137000 0.170000
108  -15.389   15.855   12.100 20160928121114.828  -0.063 0.143000 0.189000 0.220000
109  -14.881   15.195   11.800 20160929121114.828  -0.004 0.170000 0.185000 0.200000
110  -14.226   14.526   11.750 20160930121114.828   0.054 0.136000 0.181000 0.200000
111  -14.021   14.454   11.990 20161001121114.828  -0.012 0.153000 0.142000 0.240000
112  -13.170   13.728   11.420 20161002121114.828   0.106 0.189000 0.177000 0.230000
113  -13.523   13.521   12.010 20161003121114.828  -0.036 0.229000 0.171000 0.210000
114  -12.936   13.100   11.610 20161004121114.828   0.031 0.154000 0.133000 0.230000
115  -12.868   13.114   12.100 20161005121114.828  -0.078 0.131000 0.173000 0.180000
116  -12.141   12.494   11.700 20161006121114.828  -0.001 0.214000 0.174000 0.220000
117  -11.661   12.012   11.940 20161007121114.828  -0.019 0.178000 0.150000 0.180000
118  -11.236   11.551   11.760 20161008121114.828   0.008 0.132000 0.125000 0.200000
119  -10.708   11.304   11.800 20161009121114.828   0.001 0.157000 0.157000 0.220000
120  -10.414   10.898   12.010 20161010121114.828  -0.014 0.186000 0.144000 0.200000
121   -9.773   10.359   12.030 20161011121114.828   0.006 0.129000 0.165000 0.230000
122   -9.357    9.829   11.670 20161012121114.828   0.035 0.141000 0.146000 0.190000
123   -9.253    9.457   11.750 20161013121114.828   0.030 0.120000 0.203000 0.230000
124   -8.664    8.967   11.770 20161014121114.828   0.026 0.200000 0.135000 0.200000
125   -8.413    8.614   11.850 20161015121114.828  -0.003 0.130000 0.128000 0.200000
126   -8.139    8.504   11.730 20161016121114.828  -0.027 0.127000 0.166000 0.170000
127   -7.511    7.982   11.610 20161017121114.828   0.013 0.128000 0.138000 0.210000
128   -7.297    7.568   11.880 20161018121114.828  -0.010 0.126000 0.111000 0.180000
129   -6.750    7.287   11.240 20161019121114.828   0.042 0.114000 0.143000 0.160000
130   -6.384    6.983   11.740 20161020121114.828   0.001 0.134000 0.134000 0.200000
131   -6.176    6.387   11.640 20161021121114.828   0.016 0.119000 0.130000 0.200000
132   -5.596    5.940   11.240 20161022121114.828   0.057 0.101000 0.136000 0.190000
133   -5.076    5.181   11.250 20161023121114.840   0.088 0.136000 0.144000 0.230000
134   -4.846    5.256   11.410 20161024121114.840   0.018 0.118000 0.145000 0.160000
135   -4.551    4.755   11.740 20161025121114.840   0.015 0.121000 0.142000 0.210000
136   -4.068    4.530   11.660 20161026121114.840  -0.008 0.115000 0.145000 0.180000
137   -3.502    3.954   11.530 20161027121114.840   0.029 0.111000 0.138000 0.170000
138   -3.251    3.328   11.720 20161028121114.840  -0.010 0.124000 0.114000 0.230000
139   -2.921    3.213   11.680 20161029121114.840  -0.007 0.128000 0.125000 0.180000
140   -2.159    2.972   11.860 20161030121114.840  -0.004 0.124000 0.132000 0.190000
141   -2.131    2.469   11.500 20161031121114.840   0.018 0.147000 0.124000 0.220000
142   -1.678    1.897   11.550 20161101121114.840   0.019 0.116000 0.138000 0.210000
143   -1.225    1.667   11.620 20161102121114.840  -0.000 0.135000 0.131000 0.220000
144   -0.735    1.109   12.170 20161103121114.840  -0.056 0.120000 0.126000 0.200000
145   -0.505    0.842   11.870 20161104121114.840  -0.014 0.112000 0.136000 0.170000
146   -0.074    0.379   11.670 20161105121114.840   0.009 0.105000 0.116000 0.180000
147    0.317    0.058   11.580 20161106121114.840   0.014 0.117000 0.110000 0.180000
148    0.542   -0.269   11.780 20161107121114.840   0.009 0.118000 0.123000 0.190000
149    0.998   -0.880   12.030 20161108121114.840  -0.029 0.152000 0.143000 0.250000
150    1.630   -1.236   12.250 20161109121114.840  -0.052 0.123000 0.121000 0.200000
151    2.036   -1.575   11.580 20161110121114.840   0.013 0.099000 0.125000 0.170000
152    2.254   -2.076   12.530 20161111121114.840  -0.087 0.120000 0.138000 0.220000
153    2.637   -2.238   11.690 20161112121114.840   0.014 0.150000 0.139000 0.210000
154    3.257   -2.791   12.440 20161113121114.840  -0.074 0.124000 0.113000 0.190000
155    3.359   -3.095   11.430 20161114121114.840   0.035 0.119000 0.106000 0.200000
156    4.072   -3.680   11.410 20161115121114.840   0.040 0.119000 0.137000 0.240000
157    4.227   -4.130   11.860 20161116121114.840  -0.020 0.150000 0.154000 0.220000
158    4.687   -4.254   11.770 20161117121114.840   0.006 0.123000 0.120000 0.210000
159    5.082   -4.916   11.630 20161118121114.840  -0.002 0.113000 0.126000 0.180000
160    5.620   -5.242   12.230 20161119121114.840  -0.069 0.162000 0.148000 0.220000
161    5.666   -5.458   11.340 20161120121114.840   0.079 0.176000 0.142000 0.260000
162    6.425   -5.895   11.970 20161121121114.840   0.005 0.134000 0.157000 0.220000
163    6.752   -6.407   11.900 20161122121114.840   0.004 0.129000 0.128000 0.180000
164    7.274   -6.727   12.030 20161123121114.840  -0.021 0.157000 0.136000 0.240000
165    7.368   -6.878   11.530 20161124121114.840   0.062 0.122000 0.172000 0.180000
166    7.897   -7.530   11.840 20161125121114.840  -0.013 0.118000 0.123000 0.200000
167    8.408   -7.891   11.930 20161126121114.840   0.014 0.149000 0.149000 0.190000
168    8.737   -8.333   11.720 20161127121114.840   0.007 0.148000 0.153000 0.180000
169    8.687   -8.525   11.370 20161128121114.840   0.069 0.129000 0.134000 0.190000
170    9.502   -9.270   11.970 20161129121114.840  -0.011 0.135000 0.136000 0.180000
171    9.907   -9.472   11.800 20161130121114.840   0.023 0.132000 0.187000 0.180000
172   10.247   -9.993   11.620 20161201121114.840   0.024 0.163000 0.176000 0.200000
173   10.562  -10.299   11.990 20161202121114.840   0.020 0.137000 0.162000 0.200000
174   11.095  -10.630   12.250 20161203121114.840   0.004 0.172000 0.125000 0.180000
175   11.544  -11.161   11.860 20161204121114.840   0.018 0.174000 0.149000 0.180000
176   12.130  -11.804   11.800 20161205121114.840  -0.034 0.145000 0.149000 0.240000
177   12.350  -12.195   12.440 20161206121114.840  -0.047 0.198000 0.136000 0.190000
178   13.023  -12.537   12.300 20161207121114.840  -0.035 0.144000 0.155000 0.190000
179   12.999  -12.850   11.860 20161208121114.840  -0.004 0.210000 0.172000 0.230000
180   13.112  -12.906   11.950 20161209121114.840   0.052 0.162000 0.136000 0.170000
181   13.850  -13.486   12.050 20161210121114.840   0.018 0.169000 0.127000 0.180000
182   14.568  -14.103   12.210 20161211121114.840  -0.046 0.125000 0.149000 0.210000
183   14.820  -14.489   12.140 20161212121114.840  -0.025 0.187000 0.151000 0.240000
184   14.810  -14.683   12.040 20161213121114.840   0.051 0.228000 0.169000 0.240000
185   15.326  -15.146   12.180 20161214121114.840   0.014 0.198000 0.153000 0.200000
186   15.930  -15.638   11.790 20161215121114.840  -0.009 0.225000 0.163000 0.240000
187   16.250  -16.146   11.590 20161216121114.840   0.013 0.182000 0.210000 0.210000
188   16.798  -16.174   12.050 20161217121114.840   0.012 0.224000 0.193000 0.240000
189   16.643  -16.563   11.810 20161218121114.840   0.089 0.169000 0.197000 0.240000
190   17.624  -17.077   11.950 20161219121114.840   0.021 0.157000 0.157000 0.230000
191   18.068  -17.560   12.060 20161220121114.840  -0.022 0.199000 0.206000 0.230000
192   18.378  -18.030   11.720 20161221121114.840   0.004 0.149000 0.146000 0.200000
193   18.673  -18.350   11.960 20161222121114.840   0.037 0.173000 0.155000 0.250000
194   19.209  -18.523   12.000 20161223121114.840   0.042 0.172000 0.193000 0.260000
195   19.372  -18.836   11.620 20161224121114.840   0.101 0.201000 0.234000 0.280000
